tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,mentions,hashtags
https://twitter.com/yilkal_kefale/status/1548579182233403392,2022-07-17T08:03:42.000Z,ከፍ ባለ ስብእና ሀገርሽን ከፍ አድርገሻል  🇪🇹🇪🇹🇪🇹 https://t.co/GGtWdIKyL4,83,26,348,1,0,,
https://twitter.com/yilkal_kefale/status/1547433194458423297,2022-07-14T04:09:58.000Z,"የወልቃይት ጉዳይ ሀገራዊ አጀንዳ እንጂ የአማራ ህዝብ ጥያቄ ብቻ አይደለም።

የህወሓት መለያ ባህሪ የሰላም አጀንዳ በልቡ የሌላ መሆኑ ነው። ክፉ እና ወንጀለኛ ድርጂት ነው።
ከዚህ አኳያ እንዳመጣጡ መልስ ለመስጠት መዘጋጀት ይገባናል። 🇪🇹🇪🇹🇪🇹 https://t.co/DlMOdz5Jgn",74,0,271,14,0,,
https://twitter.com/yilkal_kefale/status/1546824858314711042,2022-07-12T11:52:39.000Z,እየደረሱት ያለውን የጥፋት አጀንዳ ለማክሸፍ ጠንካራ መንግሳታዊ መዋቅር መፍጠር አስፈላጊ በመኾኑ የክልሉ መንግስት ይህን በመረዳት እየሠራን ነው:: 🇪🇹🇪🇹🇪🇹 https://t.co/urugKUbEcA,11,0,47,2,0,,
https://twitter.com/yilkal_kefale/status/1546824844821598208,2022-07-12T11:52:36.000Z,"በየአቅጣጫው የተከፈተብንን ጥቃት ማክሸፍ የምንችለው መደማመጥና መተባበር ስንችል ብቻ ነው።

ሸኔ እና ትህነግ መጠነ ሰፊ ጥፋት እየፈፀሙብን ነው። https://t.co/TLBlwS4Lmy",64,1,207,19,0,,
https://twitter.com/yilkal_kefale/status/1546389200316014592,2022-07-11T07:01:30.000Z,"በሰሜን ሸዋ ዞን የአረንጓዴ አሻራ የችግኝ ተከላ መርሐ ግብርን አስጀምረናል።
በዞን ደረጃ ከ270 ሚሊየን በላይ ችግኝ ለመትከል አቅደን ወደ ተግባር ገብተናል። 
 🇪🇹🇪🇹🇪🇹 https://t.co/aKKARo3gBQ",34,0,150,11,0,,
https://twitter.com/yilkal_kefale/status/1545142880108437504,2022-07-07T20:29:04.000Z,የባህርዳር አለም አቀፍ ስታዲየም ያለበትን ደረጃ ተመልክተናል። የስታዲየሙ ቀሪ ስራወች በፍጥነት አጠናቀን በአህጉር አቀፍም ሆነ በአለም አቀፍ ደረጃ ተመራጭ እንዲሆን ለማድረግ የክልሉ መንግሥት አስፈላጊ በጀት መድቧል።🇪🇹🇪🇹🇪🇹 https://t.co/GCivxJ2Hp7,50,0,211,10,0,,
https://twitter.com/yilkal_kefale/status/1539924566172368898,2022-06-23T10:53:21.000Z,በንጹሃን ሰዎች ላይ አሰቃቂ ድርጊት የፈፀሙ የሽብር ቡድኖች ለማጥቃት ዳር እስከዳር መረባረብ ያስፈልጋል ።🇪🇹🇪🇹🇪🇹,135,495,529,28,0,,
https://twitter.com/yilkal_kefale/status/1539248149113589771,2022-06-21T14:05:31.000Z,ዛሬ የተከልነው ችግኝ ለመጭው ትውልድ የምናስረክበው ዘላቂ ቅርስና ሃብት ነው።🇪🇹🇪🇹🇪🇹,102,555,440,42,0,,
https://twitter.com/yilkal_kefale/status/1538854398226571265,2022-06-20T12:00:53.000Z,ድርጊቱ አገራችንን ከአሸባሪወች ለማጽዳት የጀመርነውን ዘመቻ አጠናክረን ከመቀጠል ውጪ ሌላ አማራጭ እንደሌለን ማሳያ ነው።,23,0,58,1,0,,
https://twitter.com/yilkal_kefale/status/1538854232190861314,2022-06-20T12:00:14.000Z,በኦሮሚያ ክልል በምዕራብ ወለጋ ዞን ግምቢ ግምቢ ወረዳ ቶሌ ቀበሌ አሸባሪው ሸኔ በንጹሐን ወገኖች ላይ በፈፀመው ግድያ የተሰማኝን ሀዘን እየገለፅኩ  ለቤተሰቦቻቸው መጽናናትን እመኛለሁ።,70,1,212,23,0,,
